Degree,Specialization,state_abbr,12percentage,Specialization_Degree,Performance_Bin,Performance_Specialization,Degree_State,12percentage_normalized
B.Tech/B.E.,computer science & engineering, VIC,0.6895937196868868,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ VIC,0.6895937196868868
MCA,computer application, QLD,0.32252024633986787,computer application_MCA,60-70,60-70_computer application,MCA_ QLD,0.32252024633986787
B.Tech/B.E.,electronics and communication engineering, QLD,0.707640596449277,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ QLD,0.707640596449277
B.Tech/B.E.,computer science and technology, NSW,0.47609916758780957,computer science and technology_B.Tech/B.E.,60-70,60-70_computer science and technology,B.Tech/B.E._ NSW,0.47609916758780957
B.Tech/B.E.,information technology, NSW,0.761781226736448,information technology_B.Tech/B.E.,80-100,80-100_information technology,B.Tech/B.E._ NSW,0.761781226736448
B.Tech/B.E.,computer science & engineering, QLD,0.41383744275756296,computer science & engineering_B.Tech/B.E.,60-70,60-70_computer science & engineering,B.Tech/B.E._ QLD,0.41383744275756296
MCA,computer application, WA,0.3286561844390806,computer application_MCA,60-70,60-70_computer application,MCA_ WA,0.3286561844390806
B.Tech/B.E.,electronics and communication engineering, SA,0.6859843443344086,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ SA,0.6859843443344086
MCA,computer application, NSW,0.3467030612014711,computer application_MCA,60-70,60-70_computer application,MCA_ NSW,0.3467030612014711
B.Tech/B.E.,information technology, ACT,0.3827968147262516,information technology_B.Tech/B.E.,60-70,60-70_information technology,B.Tech/B.E._ ACT,0.3827968147262516
B.Tech/B.E.,electronics and communication engineering, NSW,0.4730311985382031,electronics and communication engineering_B.Tech/B.E.,60-70,60-70_electronics and communication engineering,B.Tech/B.E._ NSW,0.4730311985382031
B.Tech/B.E.,computer science & engineering, NSW,0.4080624421935982,computer science & engineering_B.Tech/B.E.,60-70,60-70_computer science & engineering,B.Tech/B.E._ NSW,0.4080624421935982
B.Tech/B.E.,information technology, QLD,0.4188905682510321,information technology_B.Tech/B.E.,60-70,60-70_information technology,B.Tech/B.E._ QLD,0.4188905682510321
B.Tech/B.E.,computer science & engineering, SA,0.31060930767669037,computer science & engineering_B.Tech/B.E.,50-60,50-60_computer science & engineering,B.Tech/B.E._ SA,0.31060930767669037
B.Tech/B.E.,computer science & engineering, ACT,0.6751562182769745,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ ACT,0.6751562182769745
MCA,computer application, NT,0.7816327911750772,computer application_MCA,80-100,80-100_computer application,MCA_ NT,0.7816327911750772
B.Tech/B.E.,electronics and communication engineering, NSW,0.7888515418800334,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ NSW,0.7888515418800334
B.Tech/B.E.,computer engineering, VIC,0.8502109228721605,computer engineering_B.Tech/B.E.,80-100,80-100_computer engineering,B.Tech/B.E._ VIC,0.8502109228721605
B.Tech/B.E.,electronics and communication engineering, NSW,0.7256874732116673,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ NSW,0.7256874732116673
B.Tech/B.E.,computer science & engineering, SA,0.3286561844390806,computer science & engineering_B.Tech/B.E.,60-70,60-70_computer science & engineering,B.Tech/B.E._ SA,0.3286561844390806
B.Tech/B.E.,computer science & engineering, QLD,0.5872679284441337,computer science & engineering_B.Tech/B.E.,70-80,70-80_computer science & engineering,B.Tech/B.E._ QLD,0.5872679284441337
B.Tech/B.E.,computer science & engineering, VIC,0.3827968147262516,computer science & engineering_B.Tech/B.E.,60-70,60-70_computer science & engineering,B.Tech/B.E._ VIC,0.3827968147262516
B.Tech/B.E.,mechanical engineering, ACT,0.581312459112545,mechanical engineering_B.Tech/B.E.,70-80,70-80_mechanical engineering,B.Tech/B.E._ ACT,0.581312459112545
B.Tech/B.E.,information science engineering, TAS,0.5632655823501546,information science engineering_B.Tech/B.E.,70-80,70-80_information science engineering,B.Tech/B.E._ TAS,0.5632655823501546
B.Tech/B.E.,computer engineering, WA,0.8267499830810531,computer engineering_B.Tech/B.E.,80-100,80-100_computer engineering,B.Tech/B.E._ WA,0.8267499830810531
B.Tech/B.E.,computer engineering, ACT,0.31060930767669037,computer engineering_B.Tech/B.E.,50-60,50-60_computer engineering,B.Tech/B.E._ ACT,0.31060930767669037
B.Tech/B.E.,computer science & engineering, SA,0.5524374562927205,computer science & engineering_B.Tech/B.E.,70-80,70-80_computer science & engineering,B.Tech/B.E._ SA,0.5524374562927205
B.Tech/B.E.,information technology, NT,0.4188905682510321,information technology_B.Tech/B.E.,60-70,60-70_information technology,B.Tech/B.E._ NT,0.4188905682510321
B.Tech/B.E.,computer engineering, TAS,0.6692007489453858,computer engineering_B.Tech/B.E.,70-80,70-80_computer engineering,B.Tech/B.E._ TAS,0.6692007489453858
B.Tech/B.E.,electronics and electrical engineering, SA,0.7558257574048591,electronics and electrical engineering_B.Tech/B.E.,80-100,80-100_electronics and electrical engineering,B.Tech/B.E._ SA,0.7558257574048591
B.Tech/B.E.,electronics and communication engineering, NT,0.5885312098175012,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ NT,0.5885312098175012
B.Tech/B.E.,computer science & engineering, TAS,0.5632655823501546,computer science & engineering_B.Tech/B.E.,70-80,70-80_computer science & engineering,B.Tech/B.E._ TAS,0.5632655823501546
B.Tech/B.E.,electronics and communication engineering, NT,0.8718671749870287,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ NT,0.8718671749870287
B.Tech/B.E.,electronics and communication engineering, SA,0.9711249971801753,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ SA,0.9711249971801753
B.Tech/B.E.,electronics and electrical engineering, WA,0.45498432177581283,electronics and electrical engineering_B.Tech/B.E.,60-70,60-70_electronics and electrical engineering,B.Tech/B.E._ WA,0.45498432177581283
B.Tech/B.E.,instrumentation engineering, SA,0.2059374224548267,instrumentation engineering_B.Tech/B.E.,50-60,50-60_instrumentation engineering,B.Tech/B.E._ SA,0.2059374224548267
B.Tech/B.E.,computer science & engineering, WA,0.31060930767669037,computer science & engineering_B.Tech/B.E.,50-60,50-60_computer science & engineering,B.Tech/B.E._ WA,0.31060930767669037
B.Tech/B.E.,mechanical engineering, ACT,0.35211712423018804,mechanical engineering_B.Tech/B.E.,60-70,60-70_mechanical engineering,B.Tech/B.E._ ACT,0.35211712423018804
B.Tech/B.E.,electronics and communication engineering, QLD,0.5452187055877643,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ QLD,0.5452187055877643
MCA,computer application, VIC,0.34128899817275393,computer application_MCA,60-70,60-70_computer application,MCA_ VIC,0.34128899817275393
B.Tech/B.E.,computer science & engineering, ACT,0.5921405851699789,computer science & engineering_B.Tech/B.E.,70-80,70-80_computer science & engineering,B.Tech/B.E._ ACT,0.5921405851699789
B.Tech/B.E.,information technology, NSW,0.9260078052741997,information technology_B.Tech/B.E.,80-100,80-100_information technology,B.Tech/B.E._ NSW,0.9260078052741997
B.Tech/B.E.,electronics and communication engineering, TAS,0.639062464752194,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ TAS,0.639062464752194
B.Tech/B.E.,information technology, WA,0.7166640348304721,information technology_B.Tech/B.E.,80-100,80-100_information technology,B.Tech/B.E._ WA,0.7166640348304721
B.Tech/B.E.,electronics and communication engineering, VIC,0.36474993796386135,electronics and communication engineering_B.Tech/B.E.,60-70,60-70_electronics and communication engineering,B.Tech/B.E._ VIC,0.36474993796386135
B.Tech/B.E.,computer science and technology, SA,0.3286561844390806,computer science and technology_B.Tech/B.E.,60-70,60-70_computer science and technology,B.Tech/B.E._ SA,0.3286561844390806
B.Tech/B.E.,electronics and communication engineering, NSW,0.5596562069976766,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ NSW,0.5596562069976766
B.Tech/B.E.,computer engineering, SA,0.45498432177581283,computer engineering_B.Tech/B.E.,60-70,60-70_computer engineering,B.Tech/B.E._ SA,0.45498432177581283
B.Tech/B.E.,computer science & engineering, NSW,0.5307812041778522,computer science & engineering_B.Tech/B.E.,70-80,70-80_computer science & engineering,B.Tech/B.E._ NSW,0.5307812041778522
B.Tech/B.E.,electronics and communication engineering, NT,0.761781226736448,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ NT,0.761781226736448
B.Tech/B.E.,computer science & engineering, TAS,0.532585891854091,computer science & engineering_B.Tech/B.E.,70-80,70-80_computer science & engineering,B.Tech/B.E._ TAS,0.532585891854091
MCA,computer application, SA,0.41275463015181935,computer application_MCA,60-70,60-70_computer application,MCA_ SA,0.41275463015181935
B.Tech/B.E.,information technology, QLD,0.581312459112545,information technology_B.Tech/B.E.,70-80,70-80_information technology,B.Tech/B.E._ QLD,0.581312459112545
B.Tech/B.E.,computer science & engineering, NT,0.6589140291908232,computer science & engineering_B.Tech/B.E.,70-80,70-80_computer science & engineering,B.Tech/B.E._ NT,0.6589140291908232
B.Tech/B.E.,mechanical engineering, NSW,0.36474993796386135,mechanical engineering_B.Tech/B.E.,60-70,60-70_mechanical engineering,B.Tech/B.E._ NSW,0.36474993796386135
B.Tech/B.E.,electronics and communication engineering, WA,0.7726093527938821,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ WA,0.7726093527938821
B.Tech/B.E.,electronics and communication engineering, ACT,0.5993593358749353,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ ACT,0.5993593358749353
B.Tech/B.E.,mechanical engineering, VIC,0.7545624760314918,mechanical engineering_B.Tech/B.E.,80-100,80-100_mechanical engineering,B.Tech/B.E._ VIC,0.7545624760314918
B.Tech/B.E.,computer science & engineering, NT,0.7184687225067111,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ NT,0.7184687225067111
B.Tech/B.E.,computer engineering, SA,0.5798687089715538,computer engineering_B.Tech/B.E.,70-80,70-80_computer engineering,B.Tech/B.E._ SA,0.5798687089715538
B.Tech/B.E.,electronics and communication engineering, TAS,0.9512734327415461,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ TAS,0.9512734327415461
B.Tech/B.E.,computer science & engineering, TAS,0.7004218457443209,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ TAS,0.7004218457443209
B.Tech/B.E.,computer engineering, VIC,0.31060930767669037,computer engineering_B.Tech/B.E.,50-60,50-60_computer engineering,B.Tech/B.E._ VIC,0.31060930767669037
B.Tech/B.E.,electronics and communication engineering, NT,0.3827968147262516,electronics and communication engineering_B.Tech/B.E.,60-70,60-70_electronics and communication engineering,B.Tech/B.E._ NT,0.3827968147262516
B.Tech/B.E.,computer engineering, WA,0.31060930767669037,computer engineering_B.Tech/B.E.,50-60,50-60_computer engineering,B.Tech/B.E._ WA,0.31060930767669037
B.Tech/B.E.,information technology, WA,0.9458593697128291,information technology_B.Tech/B.E.,80-100,80-100_information technology,B.Tech/B.E._ WA,0.9458593697128291
B.Tech/B.E.,electronics & telecommunications, NT,0.6534999661621063,electronics & telecommunications_B.Tech/B.E.,70-80,70-80_electronics & telecommunications,B.Tech/B.E._ NT,0.6534999661621063
B.Tech/B.E.,electronics and communication engineering, VIC,0.6715468429244965,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ VIC,0.6715468429244965
B.Tech/B.E.,electronics and communication engineering, QLD,0.7401249746215796,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ QLD,0.7401249746215796
B.Tech/B.E.,information technology, SA,0.31060930767669037,information technology_B.Tech/B.E.,50-60,50-60_information technology,B.Tech/B.E._ SA,0.31060930767669037
B.Tech/B.E.,computer engineering, NSW,0.5740937084075887,computer engineering_B.Tech/B.E.,70-80,70-80_computer engineering,B.Tech/B.E._ NSW,0.5740937084075887
B.Tech/B.E.,computer engineering, ACT,0.7220780978591893,computer engineering_B.Tech/B.E.,80-100,80-100_computer engineering,B.Tech/B.E._ ACT,0.7220780978591893
B.Tech/B.E.,mechanical engineering, QLD,0.5091249520629838,mechanical engineering_B.Tech/B.E.,70-80,70-80_mechanical engineering,B.Tech/B.E._ QLD,0.5091249520629838
B.Tech/B.E.,electronics and communication engineering, ACT,0.9296171806266776,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ ACT,0.9296171806266776
B.Tech/B.E.,electronics and communication engineering, TAS,0.6534999661621063,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ TAS,0.6534999661621063
MCA,computer application, WA,0.1301405400527873,computer application_MCA,Below 50,Below 50_computer application,MCA_ WA,0.1301405400527873
B.Tech/B.E.,information technology, SA,0.707640596449277,information technology_B.Tech/B.E.,80-100,80-100_information technology,B.Tech/B.E._ SA,0.707640596449277
B.Tech/B.E.,electronics and communication engineering, NSW,0.7762187281463601,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ NSW,0.7762187281463601
B.Tech/B.E.,computer engineering, NSW,0.6354530893997158,computer engineering_B.Tech/B.E.,70-80,70-80_computer engineering,B.Tech/B.E._ NSW,0.6354530893997158
B.Tech/B.E.,ceramic engineering, NSW,0.6112702745381128,ceramic engineering_B.Tech/B.E.,70-80,70-80_ceramic engineering,B.Tech/B.E._ NSW,0.6112702745381128
B.Tech/B.E.,information technology, QLD,0.5452187055877643,information technology_B.Tech/B.E.,70-80,70-80_information technology,B.Tech/B.E._ QLD,0.5452187055877643
B.Tech/B.E.,information technology, TAS,0.48024994924315945,information technology_B.Tech/B.E.,60-70,60-70_information technology,B.Tech/B.E._ TAS,0.48024994924315945
B.Tech/B.E.,computer science & engineering, TAS,0.8014843556137067,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ TAS,0.8014843556137067
B.Tech/B.E.,electronics and communication engineering, WA,0.6820140314466828,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ WA,0.6820140314466828
B.Tech/B.E.,electronics and communication engineering, ACT,0.4730311985382031,electronics and communication engineering_B.Tech/B.E.,60-70,60-70_electronics and communication engineering,B.Tech/B.E._ ACT,0.4730311985382031
B.Tech/B.E.,electrical engineering, SA,0.581312459112545,electrical engineering_B.Tech/B.E.,70-80,70-80_electrical engineering,B.Tech/B.E._ SA,0.581312459112545
B.Tech/B.E.,information technology, TAS,0.9270906178799431,information technology_B.Tech/B.E.,80-100,80-100_information technology,B.Tech/B.E._ TAS,0.9270906178799431
MCA,computer application, TAS,0.6563874664440886,computer application_MCA,70-80,70-80_computer application,MCA_ TAS,0.6563874664440886
B.Tech/B.E.,electronics and communication engineering, NT,0.938640619007873,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ NT,0.938640619007873
B.Tech/B.E.,electronics and electrical engineering, WA,0.6354530893997158,electronics and electrical engineering_B.Tech/B.E.,70-80,70-80_electronics and electrical engineering,B.Tech/B.E._ WA,0.6354530893997158
B.Tech/B.E.,computer engineering, VIC,0.40084369148864185,computer engineering_B.Tech/B.E.,60-70,60-70_computer engineering,B.Tech/B.E._ VIC,0.40084369148864185
MCA,computer application, SA,0.05073428229827004,computer application_MCA,Below 50,Below 50_computer application,MCA_ SA,0.05073428229827004
B.Tech/B.E.,electrical engineering, NSW,0.3719686886688175,electrical engineering_B.Tech/B.E.,60-70,60-70_electrical engineering,B.Tech/B.E._ NSW,0.3719686886688175
B.Tech/B.E.,computer science & engineering, NT,0.6859843443344086,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ NT,0.6859843443344086
B.Tech/B.E.,mechanical engineering, NT,0.4308015069142098,mechanical engineering_B.Tech/B.E.,60-70,60-70_mechanical engineering,B.Tech/B.E._ NT,0.4308015069142098
B.Tech/B.E.,metallurgical engineering, SA,0.6504319971124998,metallurgical engineering_B.Tech/B.E.,70-80,70-80_metallurgical engineering,B.Tech/B.E._ SA,0.6504319971124998
B.Tech/B.E.,electronics & telecommunications, NT,0.36474993796386135,electronics & telecommunications_B.Tech/B.E.,60-70,60-70_electronics & telecommunications,B.Tech/B.E._ NT,0.36474993796386135
B.Tech/B.E.,mechanical engineering, TAS,0.6174062126373255,mechanical engineering_B.Tech/B.E.,70-80,70-80_mechanical engineering,B.Tech/B.E._ TAS,0.6174062126373255
B.Tech/B.E.,mechanical engineering, TAS,0.5993593358749353,mechanical engineering_B.Tech/B.E.,70-80,70-80_mechanical engineering,B.Tech/B.E._ TAS,0.5993593358749353
B.Tech/B.E.,electronics and communication engineering, NT,0.7256874732116673,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ NT,0.7256874732116673
B.Tech/B.E.,computer engineering, NSW,0.2709061787994317,computer engineering_B.Tech/B.E.,50-60,50-60_computer engineering,B.Tech/B.E._ NSW,0.2709061787994317
B.Tech/B.E.,mechanical engineering, ACT,0.4188905682510321,mechanical engineering_B.Tech/B.E.,60-70,60-70_mechanical engineering,B.Tech/B.E._ ACT,0.4188905682510321
B.Tech/B.E.,electronics and communication engineering, ACT,0.6895937196868868,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ ACT,0.6895937196868868
B.Tech/B.E.,electronics and communication engineering, ACT,0.707640596449277,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ ACT,0.707640596449277
B.Tech/B.E.,electronics and communication engineering, WA,0.6101874619323694,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ WA,0.6101874619323694
B.Tech/B.E.,information science engineering, VIC,0.2844413363712245,information science engineering_B.Tech/B.E.,50-60,50-60_information science engineering,B.Tech/B.E._ VIC,0.2844413363712245
B.Tech/B.E.,electronics and electrical engineering, QLD,0.5993593358749353,electronics and electrical engineering_B.Tech/B.E.,70-80,70-80_electronics and electrical engineering,B.Tech/B.E._ QLD,0.5993593358749353
B.Tech/B.E.,computer science & engineering, NSW,0.8628437366058336,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ NSW,0.8628437366058336
B.Tech/B.E.,mechanical engineering, VIC,0.6119921496086086,mechanical engineering_B.Tech/B.E.,70-80,70-80_mechanical engineering,B.Tech/B.E._ VIC,0.6119921496086086
B.Tech/B.E.,computer engineering, SA,0.7551038823343635,computer engineering_B.Tech/B.E.,80-100,80-100_computer engineering,B.Tech/B.E._ SA,0.7551038823343635
B.Tech/B.E.,electronics and electrical engineering, NT,0.5361952672065692,electronics and electrical engineering_B.Tech/B.E.,70-80,70-80_electronics and electrical engineering,B.Tech/B.E._ NT,0.5361952672065692
B.Tech/B.E.,mechanical engineering, NT,0.6065780865798914,mechanical engineering_B.Tech/B.E.,70-80,70-80_mechanical engineering,B.Tech/B.E._ NT,0.6065780865798914
B.Tech/B.E.,electronics and communication engineering, QLD,0.8935234271018971,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ QLD,0.8935234271018971
B.Tech/B.E.,computer science & engineering, SA,0.4730311985382031,computer science & engineering_B.Tech/B.E.,60-70,60-70_computer science & engineering,B.Tech/B.E._ SA,0.4730311985382031
B.Tech/B.E.,information technology, TAS,0.5632655823501546,information technology_B.Tech/B.E.,70-80,70-80_information technology,B.Tech/B.E._ TAS,0.5632655823501546
B.Tech/B.E.,electronics and communication engineering, WA,0.5416093302352861,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ WA,0.5416093302352861
B.Tech/B.E.,computer science & engineering, TAS,0.4477655710708567,computer science & engineering_B.Tech/B.E.,60-70,60-70_computer science & engineering,B.Tech/B.E._ TAS,0.4477655710708567
B.Tech/B.E.,electronics and communication engineering, SA,0.2961718062667783,electronics and communication engineering_B.Tech/B.E.,50-60,50-60_electronics and communication engineering,B.Tech/B.E._ SA,0.2961718062667783
B.Tech/B.E.,information technology, NT,0.6174062126373255,information technology_B.Tech/B.E.,70-80,70-80_information technology,B.Tech/B.E._ NT,0.6174062126373255
B.Tech/B.E.,computer engineering, TAS,0.2714475851023034,computer engineering_B.Tech/B.E.,50-60,50-60_computer engineering,B.Tech/B.E._ TAS,0.2714475851023034
B.Tech/B.E.,information technology, NT,0.7798281034988382,information technology_B.Tech/B.E.,80-100,80-100_information technology,B.Tech/B.E._ NT,0.7798281034988382
B.Tech/B.E.,electronics & instrumentation eng, WA,0.761781226736448,electronics & instrumentation eng_B.Tech/B.E.,80-100,80-100_electronics & instrumentation eng,B.Tech/B.E._ WA,0.761781226736448
B.Tech/B.E.,electronics engineering, NT,0.7888515418800334,electronics engineering_B.Tech/B.E.,80-100,80-100_electronics engineering,B.Tech/B.E._ NT,0.7888515418800334
B.Tech/B.E.,information technology, TAS,0.4838593245956372,information technology_B.Tech/B.E.,60-70,60-70_information technology,B.Tech/B.E._ TAS,0.4838593245956372
B.Tech/B.E.,electronics & telecommunications, NT,0.3827968147262516,electronics & telecommunications_B.Tech/B.E.,60-70,60-70_electronics & telecommunications,B.Tech/B.E._ NT,0.3827968147262516
B.Tech/B.E.,electronics and electrical engineering, VIC,0.815921857023619,electronics and electrical engineering_B.Tech/B.E.,80-100,80-100_electronics and electrical engineering,B.Tech/B.E._ VIC,0.815921857023619
B.Tech/B.E.,electronics and communication engineering, WA,0.9783437478851317,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ WA,0.9783437478851317
B.Tech/B.E.,mechanical engineering, NSW,0.7978749802612285,mechanical engineering_B.Tech/B.E.,80-100,80-100_mechanical engineering,B.Tech/B.E._ NSW,0.7978749802612285
B.Tech/B.E.,electrical engineering, ACT,0.9350312436553948,electrical engineering_B.Tech/B.E.,80-100,80-100_electrical engineering,B.Tech/B.E._ ACT,0.9350312436553948
B.Tech/B.E.,electronics and communication engineering, TAS,0.4369374450134226,electronics and communication engineering_B.Tech/B.E.,60-70,60-70_electronics and communication engineering,B.Tech/B.E._ TAS,0.4369374450134226
B.Tech/B.E.,mechanical engineering, TAS,0.9350312436553948,mechanical engineering_B.Tech/B.E.,80-100,80-100_mechanical engineering,B.Tech/B.E._ TAS,0.9350312436553948
B.Tech/B.E.,computer science & engineering, TAS,0.4188905682510321,computer science & engineering_B.Tech/B.E.,60-70,60-70_computer science & engineering,B.Tech/B.E._ TAS,0.4188905682510321
B.Tech/B.E.,information technology, NT,0.6318437140472378,information technology_B.Tech/B.E.,70-80,70-80_information technology,B.Tech/B.E._ NT,0.6318437140472378
B.Tech/B.E.,electronics and communication engineering, WA,0.5452187055877643,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ WA,0.5452187055877643
B.Tech/B.E.,electronics and communication engineering, ACT,0.9350312436553948,electronics and communication engineering_B.Tech/B.E.,80-100,80-100_electronics and communication engineering,B.Tech/B.E._ ACT,0.9350312436553948
B.Tech/B.E.,computer science & engineering, WA,0.8700624873107897,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ WA,0.8700624873107897
B.Tech/B.E.,computer science & engineering, ACT,0.5416093302352861,computer science & engineering_B.Tech/B.E.,70-80,70-80_computer science & engineering,B.Tech/B.E._ ACT,0.5416093302352861
B.Tech/B.E.,computer science & engineering, VIC,0.8989374901306141,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ VIC,0.8989374901306141
B.Tech/B.E.,electronics and communication engineering, SA,0.49107807530059333,electronics and communication engineering_B.Tech/B.E.,60-70,60-70_electronics and communication engineering,B.Tech/B.E._ SA,0.49107807530059333
B.Tech/B.E.,computer science & engineering, WA,0.6787655936294527,computer science & engineering_B.Tech/B.E.,80-100,80-100_computer science & engineering,B.Tech/B.E._ WA,0.6787655936294527
B.Tech/B.E.,electronics and communication engineering, WA,0.3936249407836857,electronics and communication engineering_B.Tech/B.E.,60-70,60-70_electronics and communication engineering,B.Tech/B.E._ WA,0.3936249407836857
B.Tech/B.E.,information technology, WA,0.3430936858489929,information technology_B.Tech/B.E.,60-70,60-70_information technology,B.Tech/B.E._ WA,0.3430936858489929
B.Tech/B.E.,information technology, ACT,0.942249994360351,information technology_B.Tech/B.E.,80-100,80-100_information technology,B.Tech/B.E._ ACT,0.942249994360351
B.Tech/B.E.,electronics and communication engineering, ACT,0.6101874619323694,electronics and communication engineering_B.Tech/B.E.,70-80,70-80_electronics and communication engineering,B.Tech/B.E._ ACT,0.6101874619323694
